NaYS2	NaYS2	NaYS2	D	E	F	G	H	I	J
510.00	0.0067792	4681.0							
511.00	0.0068120	4703.6							
512.00	0.0067852	4685.1							
513.00	0.0068078	4700.7							
514.00	0.0067370	4651.8							
515.00	0.0066599	4598.5							
516.00	0.0065635	4532.0							
517.00	0.0064979	4486.7							
518.00	0.0063133	4359.2							
519.00	0.010632	7341.5							
520.00	0.0040179	2774.3							
521.00	0.0036566	2524.8							
522.00	0.0039157	2703.7							
523.00	0.0036888	2547.1							
524.00	0.0037978	2622.4							
525.00	0.0038758	2676.2							
526.00	0.0039887	2754.1							
527.00	0.0039498	2727.3							
528.00	0.0034339	2371.0							
529.00	0.0039200	2706.7							
530.00	0.0035735	2467.5							
531.00	0.0037096	2561.4							
532.00	0.0035818	2473.2							
533.00	0.0039551	2730.9							
534.00	0.0037603	2596.4							
535.00	0.0037540	2592.1							
536.00	0.0037408	2583.0							
537.00	0.0035265	2435.0							
538.00	0.0039497	2727.2							
539.00	0.0039481	2726.1							
540.00	0.0037850	2613.5							
541.00	0.0039710	2741.9							
542.00	0.0038644	2668.4							
543.00	0.0039506	2727.9							
544.00	0.0041149	2841.3							
545.00	0.0041942	2896.1							
546.00	0.0041529	2867.5							
547.00	0.0040210	2776.5							
548.00	0.0043516	3004.7							
549.00	0.0044112	3045.9							
550.00	0.0041823	2887.8							
551.00	0.0044993	3106.7							
552.00	0.0046945	3241.5							
553.00	0.0048542	3351.8							
554.00	0.0049097	3390.1							
555.00	0.0046493	3210.3							
556.00	0.0049166	3394.8							
557.00	0.0051562	3560.3							
558.00	0.0053730	3710.0							
559.00	0.0052930	3654.7							
560.00	0.0058944	4070.0							
561.00	0.0061839	4269.9							
562.00	0.0065254	4505.7							
563.00	0.0066865	4617.0							
564.00	0.0071436	4932.6							
565.00	0.0078504	5420.6							
566.00	0.0083995	5799.7							
567.00	0.0086910	6001.0							
568.00	0.0092210	6367.0							
569.00	0.0097884	6758.8							
570.00	0.010578	7304.3							
571.00	0.011529	7960.8							
572.00	0.012142	8384.0							
573.00	0.012463	8605.7							
574.00	0.013454	9289.7							
575.00	0.014443	9972.8							
576.00	0.015620	10785							
577.00	0.016733	11554							
578.00	0.017758	12262							
579.00	0.019155	13227							
580.00	0.020175	13930							
581.00	0.021793	15048							
582.00	0.023062	15924							
583.00	0.024199	16709							
584.00	0.025894	17879							
585.00	0.028092	19398							
586.00	0.028863	19929							
587.00	0.031523	21766							
588.00	0.033501	23132							
589.00	0.034864	24073							
590.00	0.037700	26032							
591.00	0.039800	27481							
592.00	0.042928	29641							
593.00	0.046001	31763							
594.00	0.049345	34072							
595.00	0.052332	36135							
596.00	0.054380	37549							
597.00	0.059565	41129							
598.00	0.062541	43184							
599.00	0.066907	46199							
