Y	Y	Y	TS132_KYS2_Eu_add_01s	norm	Em	??K	TS132_KYS2_Eu_add_01s	abs	(phot/s/nm)	energy(eV)	RadiantFlux(W/eV)	
510.00	0.38898	16161	1.5497	-0.40101								
511.00	0.57616	23938	1.5528	-0.29822								
512.00	0.60333	25067	1.5558	-0.37754								
513.00	0.64357	26738	1.5589	-0.49419								
514.00	0.67573	28075	1.5619	0.88277								
515.00	0.72768	30233	1.5649	-0.68025								
516.00	0.75902	31535	1.5680	-0.52298								
517.00	0.77368	32144	1.5710	-0.31688								
518.00	0.81915	34033	1.5741	-0.13115								
519.00	0.82995	34482	1.5771	-0.47182								
520.00	0.84464	35093	1.5801	-0.046781								
521.00	0.89430	37156	1.5832	-0.17382								
522.00	0.90419	37567	1.5862	-0.046746								
523.00	0.90905	37769	1.5892	0.091367								
524.00	0.92527	38443	1.5923	-0.15469								
525.00	0.95215	39559	1.5953	0.065630								
526.00	0.95165	39538	1.5984	-0.22115								
527.00	0.97124	40352	1.6014	-0.067581								
528.00	0.97238	40400	1.6044	-0.0098468								
529.00	0.98803	41050	1.6075	-0.15689								
530.00	0.98977	41122	1.6105	-0.21444								
531.00	0.99013	41137	1.6136	-0.17304								
532.00	0.98337	40856	1.6166	-0.13009								
533.00	0.99187	41209	1.6196	0.14480								
534.00	1.0000	41547	1.6227	-0.27211								
535.00	0.97807	40636	1.6257	0.087360								
536.00	0.97939	40691	1.6288	-0.17615								
537.00	0.98781	41041	1.6318	-0.10109								
538.00	0.96651	40156	1.6348	-0.035631								
539.00	0.93967	39041	1.6379	0.11203								
540.00	0.95344	39613	1.6409	0.11547								
541.00	0.93335	38778	1.6439	0.34561								
542.00	0.92707	38517	1.6470	-0.019936								
543.00	0.91638	38073	1.6500	0.061502								
544.00	0.90229	37488	1.6531	0.12632								
545.00	0.88996	36975	1.6561	0.070090								
546.00	0.85308	35443	1.6591	0.066698								
547.00	0.84650	35170	1.6622	0.19737								
548.00	0.85028	35327	1.6652	0.014523								
549.00	0.81011	33658	1.6683	0.042507								
550.00	0.80080	33271	1.6713	-0.0066540								
551.00	0.78040	32423	1.6743	0.065076								
552.00	0.76485	31778	1.6774	0.28484								
553.00	0.74284	30863	1.6804	0.15146								
554.00	0.72744	30223	1.6834	0.10904								
555.00	0.71703	29791	1.6865	0.055576								
556.00	0.69289	28788	1.6895	0.30124								
557.00	0.67302	27962	1.6926	0.14559								
558.00	0.65872	27368	1.6956	0.31980								
559.00	0.64719	26889	1.6987	0.24647								
560.00	0.62551	25988	1.7017	0.14532								
561.00	0.61220	25435	1.7047	0.12909								
562.00	0.58380	24255	1.7078	0.26114								
563.00	0.56890	23636	1.7108	0.16235								
564.00	0.56103	23309	1.7138	0.15387								
565.00	0.54043	22453	1.7169	0.20402								
566.00	0.51131	21244	1.7199	0.29242								
567.00	0.50353	20920	1.7230	0.33698								
568.00	0.48342	20085	1.7260	0.19776								
569.00	0.45861	19054	1.7290	0.36664								
570.00	0.45053	18718	1.7321	0.27207								
571.00	0.44866	18640	1.7351	0.28727								
572.00	0.42450	17637	1.7382	0.39757								
573.00	0.41787	17361	1.7412	0.29025								
574.00	0.39726	16505	1.7442	0.41007								
575.00	0.39419	16377	1.7473	0.45825								
576.00	0.38386	15948	1.7503	0.42919								
577.00	0.36547	15184	1.7533	0.48934								
578.00	0.36189	15036	1.7564	0.37708								
579.00	0.34668	14404	1.7594	0.39960								
580.00	0.33613	13965	1.7625	0.42865								
581.00	0.32286	13414	1.7655	0.49708								
