TS169	TS169	TS169	TS169_KNaYS2_Eu_orange_Ex455_04s	norm	Em	??K	TS169_KNaYS2_Eu_orange_Ex455_04s	abs	(phot/s/nm)	energy(eV)	RadiantFlux(W/eV)	
510.00	0.15475	2042.2	1.5497	0.13367								
511.00	0.22741	3001.0	1.5528	-0.10983								
512.00	0.24590	3245.1	1.5558	0.068067								
513.00	0.24864	3281.2	1.5589	0.078763								
514.00	0.27373	3612.4	1.5619	0.11017								
515.00	0.29600	3906.2	1.5649	-0.44431								
516.00	0.28873	3810.3	1.5680	-0.10290								
517.00	0.31961	4217.8	1.5710	-0.37863								
518.00	0.30342	4004.2	1.5741	-0.067052								
519.00	0.33992	4485.9	1.5771	-0.27590								
520.00	0.34523	4556.0	1.5801	0.57713								
521.00	0.36072	4760.4	1.5832	0.22300								
522.00	0.36960	4877.5	1.5862	0.27550								
523.00	0.39920	5268.1	1.5892	0.50570								
524.00	0.39064	5155.1	1.5923	0.73362								
525.00	0.41068	5419.6	1.5953	0.44137								
526.00	0.43859	5788.0	1.5984	-0.11574								
527.00	0.43989	5805.1	1.6014	0.35106								
528.00	0.46864	6184.5	1.6044	0.43589								
529.00	0.48155	6354.9	1.6075	0.64728								
530.00	0.48691	6425.6	1.6105	0.38627								
531.00	0.50190	6623.4	1.6136	0.54159								
532.00	0.52281	6899.4	1.6166	0.93741								
533.00	0.52772	6964.1	1.6196	0.40646								
534.00	0.56174	7413.2	1.6227	0.47818								
535.00	0.58669	7742.4	1.6257	0.61945								
536.00	0.57739	7619.6	1.6288	0.83572								
537.00	0.59422	7841.7	1.6318	0.58203								
538.00	0.62142	8200.7	1.6348	1.0190								
539.00	0.64641	8530.5	1.6379	0.73699								
540.00	0.63628	8396.8	1.6409	0.59731								
541.00	0.64981	8575.3	1.6439	0.61616								
542.00	0.66756	8809.7	1.6470	1.0518								
543.00	0.68307	9014.3	1.6500	0.77577								
544.00	0.69443	9164.2	1.6531	0.94441								
545.00	0.70530	9307.7	1.6561	1.0091								
546.00	0.70944	9362.3	1.6591	1.4011								
547.00	0.72434	9558.9	1.6622	0.96522								
548.00	0.74839	9876.3	1.6652	1.0608								
549.00	0.75250	9930.5	1.6683	1.0722								
550.00	0.76773	10132	1.6713	0.95866								
551.00	0.78711	10387	1.6743	1.1196								
552.00	0.78741	10391	1.6774	1.2773								
553.00	0.78215	10322	1.6804	1.6431								
554.00	0.83124	10970	1.6834	1.2664								
555.00	0.82087	10833	1.6865	1.3887								
556.00	0.82542	10893	1.6895	1.3945								
557.00	0.86065	11358	1.6926	1.4184								
558.00	0.86027	11353	1.6956	1.4706								
559.00	0.84920	11207	1.6987	1.3909								
560.00	0.85707	11311	1.7017	1.5757								
561.00	0.85804	11323	1.7047	1.4657								
562.00	0.88861	11727	1.7078	1.5323								
563.00	0.88660	11700	1.7108	1.8651								
564.00	0.87256	11515	1.7138	1.9373								
565.00	0.91756	12109	1.7169	1.8904								
566.00	0.88293	11652	1.7199	1.7227								
567.00	0.89147	11765	1.7230	2.0021								
568.00	0.92741	12239	1.7260	2.1223								
569.00	0.93439	12331	1.7290	2.0484								
570.00	0.90770	11979	1.7321	2.3565								
571.00	0.95476	12600	1.7351	2.3545								
572.00	0.94020	12408	1.7382	2.3394								
573.00	0.94193	12430	1.7412	2.5324								
574.00	0.97524	12870	1.7442	2.4965								
575.00	0.97531	12871	1.7473	2.5858								
576.00	0.96548	12741	1.7503	2.5790								
577.00	0.97045	12807	1.7533	2.5059								
578.00	0.99199	13091	1.7564	2.8334								
579.00	1.0000	13197	1.7594	2.8846								
580.00	0.99436	13122	1.7625	3.0646								
581.00	0.96088	12681	1.7655	3.0798								
582.00	0.96680	12759	1.7685	3.2297								
583.00	0.95249	12570	1.7716	3.2261								
584.00	0.94329	12448	1.7746	3.4794								
585.00	0.96823	12778	1.7776	3.2970								
586.00	0.92755	12241	1.7807	3.5714								
587.00	0.96107	12683	1.7837	3.5627								
588.00	0.91427	12065	1.7868	3.7249								
589.00	0.95242	12569	1.7898	3.7459								
590.00	0.89212	11773	1.7929	3.9731								
591.00	0.92777	12243	1.7959	3.9775								
592.00	0.90874	11992	1.7989	4.1521								
593.00	0.90601	11956	1.8020	4.1550								
594.00	0.87984	11611	1.8050	4.1651								
595.00	0.91792	12114	1.8080	4.6812								
596.00	0.93642	12358	1.8111	4.8198								
597.00	0.89489	11810	1.8141	4.5570								
598.00	0.88213	11641	1.8172	4.7804								
599.00	0.91104	12023	1.8202	5.2536								
600.00	0.89132	11763	1.8232	4.8066								
601.00	0.88239	11645	1.8263	4.8625								
602.00	0.87095	11494	1.8293	5.0431								
603.00	0.89544	11817	1.8324	5.1223								
604.00	0.87331	11525	1.8354	5.1996								
605.00	0.88317	11655	1.8384	5.3649								
606.00	0.87423	11537	1.8415	5.5571								
607.00	0.90160	11898	1.8445	5.3808								
608.00	0.87122	11497	1.8476	5.4365								
609.00	0.90091	11889	1.8506	5.7470								
610.00	0.87408	11535	1.8536	5.7622								
611.00	0.86543	11421	1.8567	5.9128								
612.00	0.85231	11248	1.8597	5.9834								
613.00	0.86759	11449	1.8627	6.3527								
614.00	0.86198	11375	1.8658	6.1359								
615.00	0.86305	11389	1.8688	6.5240								
