TS172	TS172	TS172	TS172_KNaYS2_Eu_big_04s	norm	Em	??K	TS172_KNaYS2_Eu_big_04s	abs	(phot/s/nm)	energy(eV)	RadiantFlux(W/eV)	
510.00	0.077776	2772.7	1.5497	-0.49649								
511.00	0.084285	3004.8	1.5528	-0.38202								
512.00	0.094421	3366.1	1.5558	-0.057804								
513.00	0.094816	3380.2	1.5589	-0.0029973								
514.00	0.10436	3720.3	1.5619	1.1172								
515.00	0.11127	3966.8	1.5649	0.13975								
516.00	0.11801	4206.9	1.5680	0.092366								
517.00	0.12256	4369.1	1.5710	-0.022450								
518.00	0.12558	4476.8	1.5741	1.0428								
519.00	0.13369	4766.0	1.5771	1.1615								
520.00	0.14382	5127.2	1.5801	1.1078								
521.00	0.15586	5556.3	1.5832	1.6671								
522.00	0.15777	5624.7	1.5862	1.6106								
523.00	0.16957	6045.0	1.5892	0.67133								
524.00	0.16926	6034.1	1.5923	2.0990								
525.00	0.18030	6427.5	1.5953	2.3714								
526.00	0.18677	6658.5	1.5984	1.4171								
527.00	0.19583	6981.5	1.6014	2.5315								
528.00	0.20584	7338.2	1.6044	3.1576								
529.00	0.21169	7546.8	1.6075	2.5470								
530.00	0.22626	8066.0	1.6105	2.9507								
531.00	0.23465	8365.4	1.6136	2.5669								
532.00	0.24283	8656.7	1.6166	3.6029								
533.00	0.25657	9146.8	1.6196	2.9439								
534.00	0.25010	8916.1	1.6227	3.5357								
535.00	0.26191	9336.9	1.6257	3.1711								
536.00	0.27663	9861.8	1.6288	4.0787								
537.00	0.27454	9787.3	1.6318	3.5884								
538.00	0.28793	10265	1.6348	4.5655								
539.00	0.30382	10831	1.6379	3.8972								
540.00	0.30610	10912	1.6409	4.2897								
541.00	0.31605	11267	1.6439	5.2907								
542.00	0.32991	11761	1.6470	4.7458								
543.00	0.32821	11701	1.6500	4.8646								
544.00	0.34876	12433	1.6531	5.3382								
545.00	0.35358	12605	1.6561	5.2945								
546.00	0.35351	12603	1.6591	5.8468								
547.00	0.37078	13218	1.6622	5.7282								
548.00	0.36383	12970	1.6652	5.8831								
549.00	0.36970	13180	1.6683	6.2151								
550.00	0.38038	13560	1.6713	6.6066								
551.00	0.39190	13971	1.6743	6.9973								
552.00	0.39815	14194	1.6774	6.6166								
553.00	0.39932	14236	1.6804	7.3635								
554.00	0.41109	14655	1.6834	7.7957								
555.00	0.42579	15179	1.6865	7.0617								
556.00	0.41949	14955	1.6895	7.7337								
557.00	0.42918	15300	1.6926	8.3419								
558.00	0.43044	15345	1.6956	8.7938								
559.00	0.43618	15550	1.6987	8.6712								
560.00	0.43310	15440	1.7017	9.1106								
561.00	0.44665	15923	1.7047	9.6176								
562.00	0.44789	15967	1.7078	9.6830								
563.00	0.45873	16354	1.7108	10.234								
564.00	0.45188	16109	1.7138	10.326								
565.00	0.46280	16499	1.7169	10.523								
566.00	0.46753	16667	1.7199	11.086								
567.00	0.45356	16169	1.7230	11.796								
568.00	0.46224	16479	1.7260	11.941								
569.00	0.48216	17189	1.7290	11.746								
570.00	0.47085	16786	1.7321	11.944								
571.00	0.48536	17303	1.7351	12.545								
572.00	0.48032	17124	1.7382	12.872								
573.00	0.48943	17448	1.7412	12.555								
574.00	0.49940	17803	1.7442	14.164								
575.00	0.50447	17984	1.7473	14.283								
576.00	0.48990	17465	1.7503	14.730								
577.00	0.51737	18444	1.7533	15.069								
578.00	0.52397	18679	1.7564	16.009								
579.00	0.51792	18464	1.7594	15.591								
580.00	0.52364	18668	1.7625	16.271								
581.00	0.51485	18354	1.7655	16.308								
582.00	0.51579	18388	1.7685	16.888								
583.00	0.51011	18185	1.7716	17.231								
584.00	0.51774	18458	1.7746	17.709								
585.00	0.50735	18087	1.7776	18.426								
586.00	0.51483	18354	1.7807	18.323								
587.00	0.51848	18484	1.7837	18.871								
588.00	0.51644	18411	1.7868	19.014								
589.00	0.52834	18835	1.7898	19.991								
590.00	0.52336	18658	1.7929	20.031								
591.00	0.53016	18900	1.7959	20.574								
592.00	0.51566	18383	1.7989	20.629								
593.00	0.53314	19006	1.8020	21.484								
594.00	0.53122	18938	1.8050	21.817								
595.00	0.53895	19214	1.8080	22.334								
596.00	0.53429	19048	1.8111	22.433								
597.00	0.54860	19557	1.8141	22.753								
598.00	0.55119	19650	1.8172	22.803								
599.00	0.55951	19946	1.8202	23.741								
600.00	0.56601	20178	1.8232	23.858								
601.00	0.56396	20105	1.8263	23.828								
602.00	0.57670	20559	1.8293	24.605								
603.00	0.58177	20740	1.8324	24.506								
604.00	0.59230	21116	1.8354	24.980								
605.00	0.60017	21396	1.8384	25.155								
606.00	0.62229	22185	1.8415	25.180								
607.00	0.62202	22175	1.8445	26.175								
608.00	0.63139	22509	1.8476	26.154								
609.00	0.64775	23092	1.8506	26.356								
610.00	0.63111	22499	1.8536	26.205								
611.00	0.64191	22884	1.8567	26.753								
612.00	0.66597	23742	1.8597	26.908								
613.00	0.67048	23902	1.8627	27.059								
614.00	0.67841	24185	1.8658	27.365								
615.00	0.67938	24220	1.8688	27.298								
616.00	0.69988	24951	1.8719	27.644								
617.00	0.70369	25087	1.8749	28.376								
618.00	0.71923	25641	1.8779	28.090								
619.00	0.73329	26141	1.8810	28.510								
620.00	0.75884	27052	1.8840	29.006								
621.00	0.77866	27759	1.8871	28.940								
622.00	0.77137	27499	1.8901	28.980								
623.00	0.79505	28343	1.8931	28.673								
624.00	0.80027	28530	1.8962	28.653								
625.00	0.81641	29105	1.8992	28.156								
626.00	0.82628	29457	1.9022	28.320								
