TS173-K0.83	TS173-K0.83	TS173-K0.83	TS173_KNaYS2_Eu_05s	norm	Em	??K	TS173_KNaYS2_Eu_05s	abs	(phot/s/nm)	energy(eV)	RadiantFlux(W/eV)	
510.00	0.041818	5390.6	1.5497	-0.10694								
511.00	0.045721	5893.8	1.5528	0.068447								
512.00	0.049030	6320.4	1.5558	0.059996								
513.00	0.052266	6737.5	1.5589	-0.50970								
514.00	0.055966	7214.5	1.5619	11.273								
515.00	0.061379	7912.2	1.5649	10.248								
516.00	0.067220	8665.2	1.5680	9.6701								
517.00	0.069644	8977.7	1.5710	9.3865								
518.00	0.073515	9476.7	1.5741	11.206								
519.00	0.080383	10362	1.5771	11.505								
520.00	0.083293	10737	1.5801	10.660								
521.00	0.085559	11029	1.5832	11.574								
522.00	0.094375	12166	1.5862	10.377								
523.00	0.093449	12046	1.5892	12.108								
524.00	0.10295	13272	1.5923	13.129								
525.00	0.10661	13743	1.5953	12.649								
526.00	0.11349	14630	1.5984	13.491								
527.00	0.11528	14860	1.6014	13.680								
528.00	0.12344	15912	1.6044	13.745								
529.00	0.12691	16359	1.6075	13.405								
530.00	0.13419	17299	1.6105	14.680								
531.00	0.13836	17836	1.6136	16.484								
532.00	0.14514	18709	1.6166	15.129								
533.00	0.14762	19029	1.6196	16.418								
534.00	0.15695	20232	1.6227	17.175								
535.00	0.16036	20672	1.6257	18.725								
536.00	0.16536	21317	1.6288	18.090								
537.00	0.16802	21659	1.6318	17.833								
538.00	0.17665	22771	1.6348	18.548								
539.00	0.18062	23283	1.6379	19.011								
540.00	0.18965	24448	1.6409	20.584								
541.00	0.19434	25052	1.6439	21.346								
542.00	0.19717	25417	1.6470	21.207								
543.00	0.19872	25617	1.6500	22.514								
544.00	0.20495	26419	1.6531	21.932								
545.00	0.21046	27131	1.6561	22.781								
546.00	0.21278	27429	1.6591	24.613								
547.00	0.21745	28031	1.6622	23.982								
548.00	0.22598	29131	1.6652	25.754								
549.00	0.23392	30154	1.6683	26.491								
550.00	0.23644	30478	1.6713	26.898								
551.00	0.24143	31122	1.6743	27.089								
552.00	0.24367	31411	1.6774	28.980								
553.00	0.24735	31885	1.6804	28.694								
554.00	0.25325	32646	1.6834	29.756								
555.00	0.25727	33164	1.6865	30.597								
556.00	0.26485	34141	1.6895	33.379								
557.00	0.26696	34413	1.6926	33.901								
558.00	0.27152	35002	1.6956	34.916								
559.00	0.27262	35143	1.6987	35.334								
560.00	0.27737	35756	1.7017	37.123								
561.00	0.27422	35349	1.7047	39.383								
562.00	0.28238	36401	1.7078	39.328								
563.00	0.28594	36861	1.7108	40.262								
564.00	0.28732	37038	1.7138	41.738								
565.00	0.28932	37295	1.7169	43.259								
566.00	0.28743	37053	1.7199	44.198								
567.00	0.29632	38199	1.7230	45.628								
568.00	0.29667	38244	1.7260	47.683								
569.00	0.29900	38543	1.7290	48.162								
570.00	0.30051	38739	1.7321	49.223								
571.00	0.30433	39230	1.7351	51.349								
572.00	0.30902	39834	1.7382	52.444								
573.00	0.31025	39994	1.7412	53.559								
